Time,葉蔚琳,工聯會,職工盟,工黨,民建聯,新民黨,民主黨,公民黨
27/02/2018 1:20,0.04,-7.5,-0.14,-4.05,-3.92,-2.93,-1.71,-1.13
27/02/2018 1:28,-0.41,-8.38,-0.59,-3.64,-3.97,-3,-1.55,-0.76
27/02/2018 1:36,-0.86,-9.5,-1.02,-3.02,-3.88,-3.07,-1.39,-0.39
27/02/2018 1:44,-1.41,-10.75,-1.56,-2.36,-3.72,-3.14,-1.23,0.63
27/02/2018 1:52,-1.95,-12.15,-2.09,-1.8,-3.57,-3.21,-1.21,1.2
27/02/2018 2:00,-2.42,-13.31,-2.55,-1.42,-3.34,-3.23,-1.31,1.77
27/02/2018 2:08,-2.96,-14.35,-3.07,-1.12,-3.05,-3.24,-1.52,2.34
27/02/2018 2:16,-3.09,-15.14,-3.19,-0.82,-2.96,-3.6,-1.67,2.95
27/02/2018 2:24,-3.13,-16.13,-3.22,-0.87,-2.7,-3.91,-1.75,3.56
27/02/2018 2:32,-3.49,-16.84,-3.58,-0.9,-2.42,-4.21,-1.84,4.17
27/02/2018 2:40,-3.9,-17.6,-3.97,-0.94,-2.07,-4.51,-1.86,4.78
27/02/2018 2:48,-3.88,-18.14,-3.94,-1.15,-1.89,-4.82,-1.86,5.39
27/02/2018 2:56,-3.67,-18.49,-3.71,-1.34,-1.77,-5.12,-1.86,5.23
27/02/2018 3:04,-3.6,-18.72,-3.64,-1.41,-1.62,-5.42,-1.85,5.11
27/02/2018 3:12,-3.14,-19.24,-3.16,-1.46,-1.48,-5.73,-2.01,4.62
27/02/2018 3:20,-2.82,-19.79,-2.84,-1.6,-1.32,-5.97,-2.25,4.13
27/02/2018 3:28,-3.03,-20.39,-3.03,-1.72,-1.14,-5.67,-2.6,3.69
27/02/2018 3:36,-3.09,-20.79,-3.09,-1.74,-1.39,-5.36,-2.95,3.24
27/02/2018 3:44,-3.06,-21.47,-3.06,-1.96,-1.64,-5.06,-3.3,2.8
27/02/2018 3:52,-3.09,-21.53,-3.09,-2.19,-1.89,-4.75,-3.66,2.36
27/02/2018 4:00,-3.36,-21.11,-3.36,-2.44,-2.16,-4.45,-3.99,1.91
27/02/2018 4:08,-3.44,-20.54,-3.44,-2.99,-2.49,-4.15,-4.31,1.47
27/02/2018 4:16,-3.29,-19.56,-3.29,-3.58,-2.81,-3.84,-4.62,0.43
27/02/2018 4:24,-3.4,-17.96,-3.4,-4.16,-3.13,-3.54,-4.72,-0.17
27/02/2018 4:32,-3.35,-15.92,-3.35,-4.55,-3.45,-3.29,-4.69,-0.77
27/02/2018 4:40,-3.34,-14.08,-3.34,-4.95,-3.77,-3.04,-4.52,-1.36
27/02/2018 4:48,-3.91,-12.7,-3.91,-5.36,-3.15,-2.79,-4.36,-2
27/02/2018 4:56,-4.55,-10.63,-4.55,-5.51,-2.76,-2.6,-3.54,-2.64
27/02/2018 5:04,-4.51,-9.23,-4.51,-5.69,-2.36,-2.4,-2.73,-3.27
27/02/2018 5:12,-4.46,-8.4,-4.46,-5.84,-1.97,-2.21,-1.91,-3.91
27/02/2018 5:20,-5.06,-7.17,-5.06,-5.7,-1.39,-2.02,-1.1,-4.55
27/02/2018 5:28,-5.76,-6.36,-5.76,-5.57,-0.83,-1.82,-0.29,-4.41
27/02/2018 5:36,-6.43,-5.93,-6.43,-5.41,-0.28,-1.63,0.52,-4.32
27/02/2018 5:44,-7.34,-5.96,-7.34,-5.28,0.28,-1.44,1.31,-4.23
27/02/2018 5:52,-8.04,-5.82,-8.04,-5.15,0.82,-1.31,2.09,-4.13
27/02/2018 6:00,-8.22,-5.26,-8.22,-5.03,0.57,-1.31,2.87,-4.09
27/02/2018 6:08,-7.83,-5.4,-7.83,-4.92,0.6,-1.31,2.87,-4.04
27/02/2018 6:16,-7.98,-5.31,-7.98,-4.81,0.63,-1.31,2.87,-4
27/02/2018 6:24,-8.14,-5.6,-8.14,-4.72,0.66,-1.31,2.88,-3.95
27/02/2018 6:32,-8.06,-6.72,-8.06,-3.98,0.7,-1.31,2.86,-3.91
27/02/2018 6:40,-8.12,-7.51,-8.12,-3.23,1.06,-1.31,3.15,-3.86
27/02/2018 6:48,-8.21,-8.43,-8.21,-2.49,1.42,-1.31,3.43,-3.86
27/02/2018 6:56,-7.79,-9.5,-7.79,-1.75,1.77,-1.31,3.71,-3.86
27/02/2018 7:04,-7.06,-10.88,-7.06,-1.01,2.12,-1.31,3.97,-3.86
27/02/2018 7:12,-6.33,-12.34,-6.33,-0.25,2.46,-1.31,4.23,-3.86
27/02/2018 7:20,-5.92,-13.33,-5.92,0.5,2.13,-1.31,4.47,-3.86
27/02/2018 7:28,-5.29,-14.82,-5.29,1.56,1.8,-1.31,4.06,-3.86
27/02/2018 7:36,-5.13,-15.35,-5.13,2.63,1.44,-1.24,3.66,-3.86
27/02/2018 7:44,-4.98,-14.97,-4.98,2.91,1.08,-1.17,3.25,-3.86
27/02/2018 7:52,-4.18,-14.72,-4.18,3.44,0.32,-1.1,2.45,-3.86
27/02/2018 8:00,-3.01,-14.09,-3.01,3.95,-0.44,-1.03,1.64,-3.86
27/02/2018 8:08,-1.93,-12.94,-1.93,4.44,-1.21,-0.96,0.84,-3.86
27/02/2018 8:16,-1.01,-11.1,-1.01,4.94,-1.98,-0.89,0.04,-3.86
27/02/2018 8:24,0.07,-9.07,0.07,5.43,-2.75,-0.83,-0.76,-3.86
27/02/2018 8:32,0.99,-7.25,0.99,6.1,-2.75,-0.76,-1.54,-3.79
27/02/2018 8:40,1.27,-4.61,1.27,6.61,-2.75,-0.69,-1.52,-3.71
27/02/2018 8:48,2.27,-2.34,2.27,7.12,-2.68,-0.62,-1.47,-3.64
27/02/2018 8:56,3.38,-0.41,3.38,7.64,-2.49,-0.1,-1.44,-3.56
27/02/2018 9:04,4.36,1.69,4.36,7.25,-2.23,0.42,-1.41,-3.49
27/02/2018 9:12,5.05,3.68,5.05,6.99,-2.16,0.94,-1.64,-3.41
27/02/2018 9:20,5.67,5.5,5.67,6.72,-2.1,1.45,-1.87,-3.34
27/02/2018 9:28,5.79,7.24,5.79,6.49,-2.01,1.97,-2.11,-3.26
27/02/2018 9:36,5.59,8.76,5.59,6.37,-1.86,2.82,-2.34,-3.06
27/02/2018 9:44,5.37,10.31,5.37,6,-1.66,3.99,-2.57,-2.86
27/02/2018 9:52,5.4,11.72,5.4,5.44,-1.39,5.16,-2.7,-2.66
27/02/2018 10:00,5.14,13.28,5.14,4.66,-1.17,6.33,-2.82,-2.45
27/02/2018 10:08,4.87,14.68,4.87,3.88,-1.05,7.19,-2.89,-2.25
27/02/2018 10:16,4.62,15.85,4.62,3.94,-0.98,8.05,-2.96,-2.05
27/02/2018 10:24,4.12,16.77,4.12,3.62,-0.69,8.91,-2.74,-1.84
27/02/2018 10:32,3.19,17.7,3.19,3.3,-0.39,9.77,-2.51,-1.64
27/02/2018 10:40,2.46,18.25,2.46,3.07,-0.09,10.63,-2.29,-1.44
27/02/2018 10:48,1.74,18.59,1.74,2.89,0.17,11.1,-2.06,-1.23
27/02/2018 10:56,0.88,18.77,0.88,2.79,0.42,11.45,-1.79,-1.03
27/02/2018 11:04,0.24,18.62,0.24,2.52,0.64,11.8,-1.69,-0.9
27/02/2018 11:12,-0.57,18.21,-0.57,2.29,0.8,12.16,-1.61,-0.77
27/02/2018 11:20,-1.52,17.97,-1.52,2.05,0.86,12.15,-1.61,-0.45
27/02/2018 11:28,-2.51,17.68,-2.51,1.8,0.85,11.69,-1.56,-0.14
27/02/2018 11:36,-3.36,17.58,-3.36,1.87,0.82,11.24,-1.51,0.18
27/02/2018 11:44,-3.91,17.2,-3.91,1.91,0.64,10.78,-1.53,0.5
27/02/2018 11:52,-4.43,16.76,-4.43,1.84,0.51,10.33,-1.55,1
27/02/2018 12:00,-4.44,16.46,-4.44,1.5,0.39,9.87,-1.57,1.5
27/02/2018 12:08,-4.34,16.16,-4.34,0.96,0.19,8.76,-1.65,1.87
27/02/2018 12:16,-4.12,16.02,-4.12,0.64,-0.12,7.32,-1.72,2.24
27/02/2018 12:24,-3.51,15.72,-3.51,0.59,-0.44,5.89,-1.9,2.61
27/02/2018 12:32,-2.86,14.92,-2.86,0.45,-0.71,4.45,-2.09,2.76
27/02/2018 12:40,-2.34,14.08,-2.34,0.21,-0.81,3.26,-2.38,2.9
27/02/2018 12:48,-1.91,13.14,-1.91,-0.13,-0.93,2.06,-2.54,3.05
27/02/2018 12:56,-1.39,12.22,-1.39,-0.43,-0.83,0.87,-2.57,3.4
27/02/2018 13:04,-0.75,11.16,-0.75,-0.73,-0.73,-0.33,-2.55,3.53
27/02/2018 13:12,-0.44,10.31,-0.44,-1.02,-0.7,-1.53,-2.48,4.32
27/02/2018 13:20,-0.1,9.5,-0.1,-1.36,-0.71,-2.32,-2.36,5.1
27/02/2018 13:28,-0.03,8.43,-0.03,-1.78,-0.71,-3.01,-2.28,5.89
27/02/2018 13:36,-0.05,7.78,-0.05,-2.31,-0.75,-3.7,-2.07,6.88
27/02/2018 13:44,0.08,7.55,0.08,-2.72,-0.67,-4.1,-1.85,7.88
27/02/2018 13:52,0.13,7.44,0.13,-3.13,-0.58,-4.15,-1.53,8.88
27/02/2018 14:00,0.23,7.43,0.23,-3.62,-0.54,-4.2,-1.26,9.88
27/02/2018 14:08,0.28,7.21,0.28,-4.2,-0.57,-4.25,-1.05,10.63
27/02/2018 14:16,0.18,7.16,0.18,-4.87,-0.66,-4.04,-0.85,11.75
27/02/2018 14:24,0.15,7.04,0.09,-5.41,-0.85,-3.82,-0.67,12.09
27/02/2018 14:32,-0.3,6.57,-0.3,-5.74,-1.02,-3.61,-0.45,12.43
27/02/2018 14:40,-0.66,6.31,-0.66,-5.89,-1.17,-3.07,-0.17,12.77
27/02/2018 14:48,-1.14,5.92,-1.14,-6.04,-1.22,-2.53,0.11,12.86
27/02/2018 14:56,-1.67,5.43,-1.66,-6.28,-1.29,-2.33,0.39,12.95
27/02/2018 15:04,-2.26,5.05,-2.25,-6.51,-1.31,-2.12,0.61,13.03
27/02/2018 15:12,-2.79,4.74,-2.76,-6.48,-1.41,-1.92,0.93,13.29
27/02/2018 15:20,-3.25,4.42,-3.21,-6.22,-1.32,-1.71,1.17,13.56
27/02/2018 15:28,-3.74,4.18,-3.71,-5.86,-1.29,-1.82,1.31,13.17
27/02/2018 15:36,-4.31,3.74,-4.29,-5.41,-1.2,-1.93,1.33,12.78
27/02/2018 15:44,-4.62,3.17,-4.61,-5.01,-1.01,-2.04,1.3,12.1
27/02/2018 15:52,-4.89,2.66,-4.88,-4.71,-0.61,-2.15,1.21,11.43
27/02/2018 16:00,-5.01,2.19,-5.01,-4.33,-0.27,-2.25,1.25,10.75
27/02/2018 16:08,-5.16,1.44,-5.17,-3.7,0.07,-2.36,1.37,9.87
27/02/2018 16:16,-5.36,0.35,-5.39,-3.06,0.34,-2.75,1.49,8.98
27/02/2018 16:24,-5.53,-1.11,-5.6,-2.51,0.67,-3.14,1.51,7.69
27/02/2018 16:32,-5.74,-2.7,-5.86,-2.01,0.94,-3.53,1.48,6.56
27/02/2018 16:40,-5.96,-4.16,-6.1,-1.51,1.25,-3.69,1.54,5.69
27/02/2018 16:48,-5.93,-5.63,-6.08,-1.05,1.58,-4.03,1.67,4.74
