調查日期 Date of survey,樣本人數 Total Sample,次樣本人數 Sub-sample,有信心 Confident,冇信心 Not Confident,難講/唔知道 DK/HS,合計 Total,淨值 Net Value
18-21/2/2002,1071,1071,63.40%,23.80%,12.90%,100.00%,39.60%
17-19/12/2001,1074,1074,59.00%,25.80%,15.30%,100.00%,33.20%
26-29/10/2001,1050,1050,62.00%,26.60%,11.40%,100.00%,35.40%
17-24/8/2001,1045,1045,56.60%,29.40%,14.00%,100.00%,27.20%
8-13/6/2001,1074,1074,56.70%,28.70%,14.60%,100.00%,28.00%
27/4-11/5/2001,1003,1003,58.30%,28.60%,13.10%,100.00%,29.70%
19-21/2/2001,1049,1049,55.00%,34.00%,11.00%,100.00%,21.00%
18-27/12/2000,1016,1016,60.10%,26.10%,13.80%,100.00%,34.00%
9-17/10/2000,1032,1032,54.10%,31.10%,14.80%,100.00%,23.00%
25-30/8/2000,1097,1097,60.30%,25.20%,14.50%,100.00%,35.10%
7-8/6/2000,1074,1074,55.80%,27.60%,16.60%,100.00%,28.20%
6-7/4/2000,570,570,64.20%,20.50%,15.30%,100.00%,43.70%
22-23/2/2000,508,508,66.10%,19.30%,14.50%,100.00%,46.80%
13-15/12/1999,529,529,58.20%,28.30%,13.50%,100.00%,29.90%
20/10/1999,557,557,55.10%,28.70%,16.20%,100.00%,26.40%
3/8/1999,541,541,55.70%,31.70%,12.60%,100.00%,24.00%
8/6/1999,538,538,55.90%,30.70%,13.40%,100.00%,25.20%
15/4/1999,527,527,61.20%,24.50%,14.30%,100.00%,36.70%
15/3/1999,534,534,61.90%,27.40%,10.80%,100.00%,34.50%
8-9/2/1999,513,513,51.70%,30.70%,17.60%,100.00%,21.00%
8-9/12/1998,530,530,65.80%,22.50%,11.70%,100.00%,43.30%
12-13/10/1998,529,529,67.10%,19.70%,13.20%,100.00%,47.40%
11/8/1998,565,565,66.80%,23.50%,9.70%,100.00%,43.30%
7/6/1998,543,543,62.10%,21.70%,16.20%,100.00%,40.40%
14-15/4/1998,522,522,65.60%,18.50%,15.80%,100.00%,47.10%
10/2/1998,535,535,65.80%,22.20%,12.00%,100.00%,43.60%
22-23/12/1997,517,517,58.80%,23.30%,17.90%,100.00%,35.50%
8-9/12/1997,500,500,59.00%,20.90%,20.10%,100.00%,38.10%
24-25/11/1997,535,535,59.40%,19.10%,21.50%,100.00%,40.30%
28-29/10/1997,536,536,61.70%,18.90%,19.40%,100.00%,42.80%
14-15/10/1997,517,517,72.80%,16.60%,10.60%,100.00%,56.20%
23-24/9/1997,511,511,67.90%,16.10%,16.00%,100.00%,51.80%
9-10/9/1997,518,518,69.60%,16.40%,14.00%,100.00%,53.20%
26/8/1997,532,532,66.30%,15.50%,18.30%,100.00%,50.80%
12/8/1997,526,526,63.80%,19.60%,16.60%,100.00%,44.20%
29-30/7/1997,564,564,61.20%,21.70%,17.10%,100.00%,39.50%
15/7/1997,541,541,63.60%,18.10%,18.30%,100.00%,45.50%
5-6/6/1997,544,544,56.80%,20.60%,22.70%,100.00%,36.20%
15-19/5/1997,1059,1059,49.60%,25.70%,24.70%,100.00%,23.90%
2-5/5/1997,536,536,59.00%,21.90%,19.00%,100.00%,37.10%
10-15/4/1997,525,525,51.30%,24.90%,23.80%,100.00%,26.40%
3-4/3/1997,536,536,63.40%,19.40%,17.10%,100.00%,44.00%
24/2/1997,552,552,67.40%,15.80%,16.70%,100.00%,51.60%
20/2/1997,548,548,69.90%,17.80%,12.40%,100.00%,52.10%
3-4/2/1997,536,536,51.40%,33.70%,14.90%,100.00%,17.70%
26/1/1997,530,530,47.20%,32.80%,20.00%,100.00%,14.40%
7-8/1/1997,599,599,54.10%,25.20%,20.70%,100.00%,28.90%
3-4/12/1996,555,555,42.20%,29.50%,28.40%,100.00%,12.70%
5-6/11/1996,522,522,46.40%,30.80%,22.70%,100.00%,15.60%
8/10/1996,521,521,49.40%,29.00%,21.60%,100.00%,20.40%
12-16/9/1996,547,547,49.70%,30.70%,19.60%,100.00%,19.00%
6/8/1996,502,502,34.50%,38.60%,26.90%,100.00%,-4.10%
10/7/1996,530,530,46.20%,30.20%,23.60%,100.00%,16.00%
5-6/6/1996,563,563,42.30%,32.00%,25.70%,100.00%,10.30%
5-6/5/1996,579,579,44.60%,30.90%,24.50%,100.00%,13.70%
2-3/4/1996,526,526,38.30%,34.20%,27.50%,100.00%,4.10%
13-15/3/1996,613,613,50.80%,28.10%,21.20%,100.00%,22.70%
8-9/2/1996,556,556,40.40%,34.50%,25.20%,100.00%,5.90%
4-5/1/1996,543,543,43.30%,35.60%,21.10%,100.00%,7.70%
4-7/12/1995,520,520,38.80%,39.10%,22.00%,100.00%,-0.30%
6-7/11/1995,550,550,46.30%,32.70%,21.00%,100.00%,13.60%
24-25/10/1995,593,593,40.90%,38.60%,20.50%,100.00%,2.30%
30/9-2/10/1995,516,516,44.90%,35.90%,19.20%,100.00%,9.00%
28/8/1995,657,657,38.70%,29.60%,31.60%,100.00%,9.10%
14-17/7/1995,559,559,44.00%,38.00%,17.90%,100.00%,6.00%
27-28/6/1995,557,557,41.90%,36.50%,21.50%,100.00%,5.40%
11/5/1995,649,649,40.40%,35.00%,24.50%,100.00%,5.40%
7-9/12/1994,504,504,41.10%,39.20%,19.60%,100.00%,1.90%
3-4/10/1994,516,516,34.70%,46.40%,18.90%,100.00%,-11.70%
1-3/8/1994,569,569,45.40%,37.70%,16.80%,100.00%,7.70%
31/5-1/6/1994,538,538,35.70%,50.60%,13.60%,100.00%,-14.90%
6-7/4/1994,509,509,31.90%,44.40%,23.60%,100.00%,-12.50%
1-7/2/1994,510,510,37.50%,44.70%,17.80%,100.00%,-7.20%
28-30/12/1993,600,600,37.50%,46.30%,16.20%,100.00%,-8.80%
26-27/10/1993,527,527,38.00%,49.90%,12.10%,100.00%,-11.90%
11/8/1993,523,523,35.00%,43.50%,21.50%,100.00%,-8.50%
9-10/6/1993,509,509,44.00%,37.20%,18.90%,100.00%,6.80%
